iter	Passed	Remaining
792	980	255
793	981	254
794	982	253
795	983	252
796	984	250
797	985	249
798	986	248
799	987	246
800	988	245
801	989	244
802	990	243
803	991	241
804	992	240
805	993	239
806	994	237
807	995	236
808	997	235
809	998	234
810	999	232
811	1000	231
812	1001	230
813	1002	229
814	1003	227
815	1005	226
816	1006	225
817	1007	224
818	1008	222
819	1009	221
820	1010	220
821	1011	219
822	1012	217
823	1013	216
824	1014	215
825	1015	214
826	1017	212
827	1018	211
828	1019	210
829	1020	209
830	1021	207
831	1023	206
832	1024	205
833	1025	204
834	1026	202
835	1027	201
836	1028	200
837	1029	199
838	1030	197
839	1032	196
840	1033	195
841	1034	194
842	1035	192
843	1036	191
844	1037	190
845	1038	189
846	1039	187
847	1040	186
848	1041	185
849	1043	184
850	1044	182
851	1045	181
852	1046	180
853	1047	179
854	1048	177
855	1049	176
856	1050	175
857	1051	173
858	1052	172
859	1053	171
860	1054	170
861	1055	168
862	1056	167
863	1057	166
864	1058	165
865	1059	163
866	1060	162
867	1061	161
868	1063	160
869	1064	159
870	1065	157
871	1066	156
872	1067	155
873	1068	154
874	1069	152
875	1070	151
876	1071	150
877	1072	149
878	1073	147
879	1074	146
880	1075	145
881	1076	144
882	1077	142
883	1078	141
884	1079	140
885	1080	139
886	1081	137
887	1082	136
888	1083	135
889	1084	134
890	1085	132
891	1086	131
892	1087	130
893	1088	129
894	1089	127
895	1090	126
896	1091	125
897	1092	124
898	1093	122
899	1094	121
900	1096	120
901	1097	119
902	1098	118
903	1099	116
904	1101	115
905	1102	114
906	1103	113
907	1104	111
908	1106	110
909	1107	109
910	1108	108
911	1109	107
912	1111	105
913	1112	104
914	1113	103
915	1114	102
916	1115	101
917	1117	99
918	1118	98
919	1119	97
920	1120	96
921	1121	94
922	1122	93
923	1123	92
924	1125	91
925	1126	90
926	1127	88
927	1128	87
928	1129	86
929	1130	85
930	1131	83
931	1132	82
932	1133	81
933	1134	80
934	1135	78
935	1136	77
936	1137	76
937	1139	75
938	1140	74
939	1141	72
940	1142	71
941	1143	70
942	1144	69
943	1145	67
944	1146	66
945	1147	65
946	1148	64
947	1150	63
948	1151	61
949	1152	60
950	1153	59
951	1154	58
952	1155	57
953	1157	55
954	1158	54
955	1159	53
956	1160	52
957	1161	50
958	1162	49
959	1163	48
960	1165	47
961	1166	46
962	1167	44
963	1168	43
964	1170	42
965	1171	41
966	1172	40
967	1173	38
968	1174	37
969	1175	36
970	1176	35
971	1177	33
972	1178	32
973	1179	31
974	1181	30
975	1182	29
976	1183	27
977	1184	26
978	1185	25
979	1186	24
980	1187	23
981	1188	21
982	1190	20
983	1191	19
984	1192	18
985	1193	16
986	1194	15
987	1195	14
988	1196	13
989	1197	12
990	1199	10
991	1200	9
992	1201	8
993	1202	7
994	1203	6
995	1204	4
996	1205	3
997	1206	2
998	1207	1
999	1208	0
